cell_line_id,drug_id,response,predictions
DMS 273,9952709,2.373087309160908,2.303606540612021
NCI-H522,613000,2.2856040748624347,2.3550892465796167
YAPC,16038120,1.926562361021756,0.9809224849591964
NCI-H292,9935249,3.8808310590786,3.3341197425608824
SNU-449,navitoclax-gemcitabine (1-1 mol-mol),5.117951975418846,-1.1396214981429325
NCI-H522,9908783,5.043768225694569,4.615345452312918
JM-1,11175137,0.9157477453434189,1.628539553646145
NCI-H522,5287620,-2.19230412457559,-2.046074169713938
MDA-MB-453,4917,2.8920757434762203,3.0727904980184633
DMS 273,135421197,2.3407622077730035,1.7099427680538306
SNU-449,BRD-K55473186,5.1406225681359174,4.174522873601452
SNU-61,4521392,3.90812104829802,4.020878101499802
G-401,9549297,1.736191202159007,2.0267560597558756
NCI-H146,89183176,1.451528120959232,3.4887569211796987
LOU-NH91,5287620,-1.52867963951729,-1.8890642451925368
FTC-133,123631,3.8044847524269865,2.3780270991620522
KMRC-1,5291,3.811670367299954,3.5658833325639887
A-673,9823820,4.6435125645675095,3.443443812762344
FU-OV-1,168313047,2.3973799381416208,2.52984992124979
Panc 04.03,44462760,4.978463894781355,4.265403953692525
RCM-1 [Human rectal adenocarcinoma],7326481,3.471788060157272,2.9828237442450116
OPM-2,445091,3.996829176942573,3.9365835502348068
ONS-76,5746,1.4703359849180313,1.2630912760386201
NCI-H661,3025944,3.908905198351104,4.342853765264483
A4/Fukuda,107970,1.5574682195612295,1.97206601459127
CAL-51,49850262,3.6300011952383584,3.999450428006808
NCI-H460,2858523,3.1665522277325575,2.8438105244922425
G-401,6184667,2.5094508901292487,2.761826847436313
NCI-H661,44607531,1.139733733680255,1.5636244053376394
SNU-81,6917907,-6.2756065511253185,-4.900655571169968
MSTO-211H,54678924,1.5146991125566602,2.2481661161521282
FTC-133,10127622,5.496386107928154,3.5555758393841335
EFO-27,11977753,-1.8189065225127747,-1.0812259718403912
SNU-61,selumetinib-decitabine (4-1 mol-mol),0.7791363138333649,2.0028859800934287
MSTO-211H,19582717,3.17062921236116,4.168002994533835
KMRC-1,53392493,3.2185750963739026,2.6367416365322613
OPM-2,2749,1.7313419667612246,1.144799862005955
NCI-H460,5351362,3.0809857123464037,1.7536508855878568
SNU-449,56949517,4.374997906660537,4.717665566321556
NCI-H146,1716436,1.8968095332546364,2.7623651268906717
MSTO-211H,9884685,-1.5007126123703023,1.0834217864506304
CA46,46926350,-5.311040218420036,-4.5553874349366
BxPC-3,72193861,-0.2425633398981322,1.8121201460688676
NCI-H522,24180719,4.104291025168841,2.886282227431235
NCI-H292,16038120,0.8772093711483475,1.271148191975527
NCI-H2171,11364421,-5.769988570724398,-3.7217289152714033
LOU-NH91,71304818,3.9209078908272703,2.6247880434664568
NCI-H2009,71466380,3.950405172838994,4.69529296648865
EFO-27,44607530,2.237032971856772,1.908649819935374
CAL-51,3136844,4.799885860604426,4.410804480800866
MSTO-211H,9936388,-4.464575449065994,-0.39522614065849576
A2780,66577038,2.715796351675557,2.881307110114465
G-401,24779724,6.361263224396382,3.4856867780742804
OPM-2,5470400,-0.1217933569770787,0.41772178476120486
HCC1143,36314,1.6197332159913502,-1.3720213388399765
SW1463,54143018,1.6932952952144893,0.2560614162034708
JM-1,1317464,3.8125649173872938,2.988581032524115
DMS 273,46907787,0.4735517334159472,0.7155573382524234
MDA-MB-453,46843906,1.4379824902109608,3.2302668730881403
