cell_line_id,drug_id,response,predictions
SU-DHL-8,51037431,2.064699416570013,2.7847692400350725
8305C,387447,-4.500899735651715,-3.8600346231389633
EKVX,24748573,2.2744575139501344,2.531713219083973
NCI-H716,219104,4.657897835899996,3.893625494637356
TE-4,16013152,4.906129423274357,4.351041011876974
CAL-62,44819697,-0.7836018960168194,-0.3454289242867187
HH [Human lymphoma],1242560,3.32390112316198,3.07801684840636
NCI-H508,3025986,-0.1600526835372885,-0.9042739576179804
NCI-H838,9907093,4.3323653972327225,4.190376266133046
CAL-54,2746,3.3346441526791306,3.5905568894709194
ZR-75-30,4096211,4.293167337670182,2.2515901020997777
LOX-IMVI,387447,-3.914151602497852,-4.055320171732944
NCI-H838,46191454,1.8380071805207052,1.7244755161530403
HCC1954,6623618,1.9536664350592945,2.6186534470524743
HCC1954,selumetinib-piperlongumine (8-1 mol-mol),2.2426733193071793,3.598110563332376
NCI-H838,navitoclax-pluripotin (1-1 mol-mol),-0.5686926349029187,-0.9458250491635226
NCI-H508,doxorubicin-navitoclax (2-1 mol-mol),-0.2137871186613294,-0.6220309958048317
MHH-NB-11,675434,6.056149649498793,4.320455444609028
8305C,3062316,-1.2333396053655148,0.8497458024852703
UO-31,56963564,0.4873946868914756,0.5900452685885305
NCI-H810,3634881,2.3315037981310054,3.266342226653638
SK-N-SH,11719255,2.9041919167957007,3.169809988045303
SHP-77,656346,-0.3278939291368347,1.2089736172965275
OCI-Ly19,24964624,1.5885520853169603,1.3609670442587711
HGC-27,6438330,1.3740169821590456,2.127812855631735
OCI-Ly19,10302451,3.771055498510201,2.406901979229018
A-172,11404337,0.9074451848226016,-0.15971259076978153
TALL-1 [Human adult T-ALL],71466578,3.722792588811551,2.6669479707191925
Raji,15983966,-4.617791465019002,-4.1979298236416795
NCI-H810,72199292,2.669815070934192,0.8221421354537578
EKVX,1242560,3.643397976118514,3.8158573042102226
UO-31,73707398,1.1940255314517427,1.6224052012378443
CAL-54,637858,1.3720795157109595,2.2608728152338626
CAL-54,44137675,1.730264548973589,3.703717357332948
NCI-H2122,60700,1.639825549144002,-0.2264244364123606
NCI-H650,216468,3.320950349472762,1.7114976899301384
Hs 746.T,decitabine-navitoclax (2-1 mol-mol),3.2701241677867725,1.8153391051707763
LOX-IMVI,selumetinib-MK-2206 (8-1 mol-mol),1.8687402704892329,2.3259289562445287
BHY,3543504,4.27239492877783,4.560560978030601
UO-31,16219061,3.4024601961388576,3.7165397284919077
8305C,107985,-3.674181215647319,-3.9619221723105977
