cell_line_id,drug_id,response,predictions
GCT,25126798,2.4566925320258797,3.9069236160551633
GCT,3081361,1.6922234475015856,2.664069185081244
U266B1,216239,2.428522816596453,1.7741111433799617
SK-ES-1,11497983,-3.868701068407193,1.2556032471680725
SF268,24775005,3.437973425315998,3.9700736388422335
KYSE-510,969516,3.458410952028274,2.873703150342676
SF268,753704,5.081908767441593,5.001391639497479
NCI-H2172,54618305,4.356498397814067,4.565861795373815
SNU-423,5311281,1.00024651229924,2.441442953313876
SF268,3634881,2.969324395908753,3.380569215395793
TT2609-C02,2871966,1.4614833749073728,0.8201716847239817
JURL-MK1,25195348,1.133870774506744,2.4414811676404313
SW1990,2858523,3.108665147059129,3.087687416236663
NCI-H2029,123631,3.506042397229096,1.9250585839399204
D283 Med,24821094,1.9076821647913431,2.6552129364167856
NCI-H2172,11152667,1.0620592795126853,-0.6286111526156475
PC-3,2874250,4.412368981062481,4.9300489283954025
NCI-H2081,4261,0.6223961435689531,1.0876606498788124
SNG-M,5311281,0.8673399691435586,2.1611055137502406
U266B1,262093,2.320136156024279,2.2620751089798494
D283 Med,5978,-3.0503373024803557,-2.592948899404742
D283 Med,tretinoin-carboplatin (2-1 mol-mol),0.0098310122185737,4.27478120776706
JURL-MK1,6252,-3.182083530622813,-0.9043618757223584
SH-4,selumetinib-tretinoin (2-1 mol-mol),-0.4503204477646628,2.680322508515879
OS-RC-2,sirolimus-bortezomib (250-1 mol-mol),1.663291645677193,1.0704144939713585
Mono-Mac-6,285033,-1.982838981659621,-3.55998353191412
DMS 114,400769,-0.2942266615029807,-1.0152199577702368
D283 Med,3689413,-5.066385831563446,-0.8058241932734229
GCT,65628,3.937581767993038,4.3895072277306255
THP-1,135421197,0.9721009186640236,1.3185197947742933
SNG-M,11626560,1.817058584385788,1.9738908571976594
RD,2749,2.7695001076987675,1.9409172958183307
DMS 114,44202524,1.6228376317303324,1.809470536216412
HT-1197,11707110,2.50828975379121,0.5906738812560665
SNG-M,11228183,1.1271917089611163,2.299021776422293
SF268,2742550,4.301402217118159,4.0100244215190415
NCI-H1105,JQ-1-UNC0638 (2-1 mol-mol),1.470468058571248,0.8913796434470259
HCC1569,navitoclax-pluripotin (1-1 mol-mol),-2.8330783201375924,-0.7059717460130825
NCI-H2081,104842,-6.196868817242243,-3.2694354919222723
NCI-H196,15953870,6.198131940680453,3.5603348927014946
SNG-M,44507138,2.890342243776107,2.5279457510102814
RCH-ACV,11717001,5.609771509374233,3.7586498061312756
THP-1,637858,1.002288461822537,0.9032526798108824
RD,54619267,3.936543841826308,4.086441676921981
NCI-H196,navitoclax-MST-312 (1-1 mol-mol),1.3127280488868007,0.7622184663047092
NCI-H1105,11228183,-0.1084209797390395,0.6309052322550828
NCI-H1105,19582717,2.5465247477032884,3.580479799761404
NCI-H1105,216345,3.646195429673662,3.2905379614348376
COLO 680N,168313047,2.7085879555229906,2.442024352682183
JURL-MK1,17755052,1.971064057664346,1.4325226296912086
PC-3,3465537,3.386652661841469,2.5831959889008265
HT-1197,5328940,2.4291736650333555,1.7008968724014262
SK-ES-1,JQ-1-UNC0638 (2-1 mol-mol),1.0646046319460858,0.6004763820835103
THP-1,6852167,0.7768028422680426,1.6823202806140836
SNG-M,107970,2.3024806168242224,2.5130866496193565
NCI-H1105,10427712,4.435899809313275,3.9803169674245833
COLO 680N,3689413,-1.68743506325492,0.26501605579486454
SNG-M,17759555,4.697296903848442,3.526632914175811
GCT,5460769,3.4482432173572644,2.7870722496203344
NCI-H1793,16659841,6.064195938093713,4.197934255406743
TOV-112D,24797083,1.3661855151247786,1.2251264872257759
RCH-ACV,44493952,2.971216444393721,2.5624496055592374
SK-ES-1,135421197,0.934110711885636,1.6609693310399336
SH-4,5746,0.9693520918969472,1.0591309396971391
THP-1,54686904,2.8829911359681124,2.9926023501808086
HT-1197,57330099,5.27062503846507,4.400488967003856
TOV-112D,15547703,3.2061433607968115,3.1303320934128727
RCH-ACV,24951314,-0.0754853736042561,0.3380283960564926
COLO 680N,6914657,-4.61965294383369,-3.630335617869646
SK-MEL-28,241158,4.1117452183175445,4.072745245526452
KYSE-510,52912189,5.071927062590809,2.3446549371421366
NCI-H2172,11964036,2.255348451727483,1.4184196955456005
TOV-112D,25227462,1.3323175912445546,-0.8538298746580769
GCT,444795,4.405029687815304,4.7326714362321365
NCI-H1105,15983966,3.897349368899007,-2.023826628434876
