cell_line_id,drug_id,response
YD-8,44491742,4.162245932134171
KO52,51039095,1.8517691823265992
BT 112,11427553,3.7884247720646873
OE33,docetaxel-tanespimycin (2-1 mol-mol),0.0839374715830857
KO52,135875424,3.01966044425059
NCI-N87,25183872,-2.1426120555107824
L3.3,piperlongumine-MST-312 (1-1 mol-mol),2.794540893097308
TE 441.T,36462,0.1000718625113496
SK-MEL-28,445091,4.3007151256708465
KO52,71466380,4.947279567827718
SNU-216,5978,-3.1004514665439835
L3.3,sirolimus-bortezomib (250-1 mol-mol),2.0691121038567144
BT 112,25183872,-1.8103797909861916
JHUEM-7,11214940,1.5777405725342055
GOS-3,44607531,1.5266968302788424
L3.3,24771867,2.302026780280536
TE-14,5278396,3.451892990607735
SNU-1077,216468,4.221133217458946
SK-MEL-28,11609586,3.4405879062717384
KE-39,3136844,4.342976017638663
GOS-3,6917907,-5.627090987822961
KE-39,11485656,2.227722528153515
TE 441.T,5284373,2.4067293610179106
SW1573,23725625,4.357604161446221
JHUEM-7,6914657,-3.112365649276011
SK-MEL-28,44202524,4.379747746299274
SNU-1077,10231331,3.484337251970082
YD-38,10231331,-1.3870760442434895
TE 441.T,445643,4.053678977050013
KO52,16736978,2.222216886070048
YD-8,25195348,5.853643444602765
KE-39,16720766,4.546084140767303
SK-MEL-28,67156097,4.393624339595105
YD-8,124202324,2.8742041026946596
SK-MEL-28,23635314,4.127704587314434
KE-39,54618305,4.948156947347383
SF295,9929138,4.960030945136907
YD-38,6623618,2.1348072370285345
KE-39,24856436,3.387816018334062
OE33,60750,-1.6166809824997617
GOS-3,135411,0.9391696009475228
SNU-216,44185566,2.8284110720577944
TE 441.T,6918328,0.4200582103899206
KO52,11609586,2.913368530947096
YD-8,11152667,-1.506864416830652
JHUEM-7,9911463,3.659236793496393
KE-39,11626560,1.956808029215874
TE 441.T,4705,3.429293976923017
SF295,72376,0.6979097544539823
KO52,salermide-PLX-4032 (12-1 mol-mol),5.165396088213933
NCI-N87,doxorubicin-navitoclax (2-1 mol-mol),-2.375472287210564
SNU-216,erlotinib-PLX-4032 (2-1 mol-mol),1.89111562006772
TE-14,2858523,3.2662108159252945
YD-8,16219061,3.09744286971822
KE-39,54618305,4.948156947347383
B-CPAP,3825829,3.169966347621692
YD-8,219104,3.5957332803631323
YD-8,11626560,1.5530364177818132
SNU-216,44491742,4.347867819055225
JHUEM-7,JQ-1-UNC0638 (2-1 mol-mol),-1.108952996086482
SF295,568763,0.589438080855472
JHUEM-7,11178236,-3.5105066295157843
KE-39,400769,-0.5095886152507402
KE-39,71729975,0.1981470064909886
KO52,100016,6.24417827042609
KE-39,9825149,1.9410582316331728
SK-MEL-28,6450551,3.516250339851913
L3.3,1716436,3.5741303666735633
SK-MEL-28,navitoclax-PLX-4032 (1-1 mol-mol),0.389238788180305
NCI-N87,navitoclax-sorafenib (1-1 mol-mol),-0.0367825564296656
KO52,3825829,1.880917675310284
NCI-N87,9866186,-0.0362526715344146
OE33,24821094,3.54635565995629
NCI-N87,1242560,3.6090545678814983
YD-38,119607,6.099875538236118
BT 112,54618164,3.5492837733522205
KE-39,445091,4.999033906756457
NCI-N87,24180719,3.957157119616887
OE33,10302451,2.926424279202946
TE-14,53495165,-0.7615839944483337
YD-8,3825829,4.049048632362995
SNU-1077,navitoclax-MST-312 (1-1 mol-mol),0.8913326642927005
KO52,selumetinib-BRD-A02303741 (4-1 mol-mol),-1.410719813767284
TE 441.T,11625818,4.2092536605530135
Hs 611.T,3136844,4.24096122939903
B-CPAP,tanespimycin-gemcitabine (1-1 mol-mol),1.3298493303497043
JHUEM-7,135984461,4.346774383555173
SNU-216,16722836,1.1608339021538483
