cell_line_id,drug_id,response,predictions
P12-Ichikawa,26596,-2.168612597742571,1.817529437922382
HT115,984333,0.4002320848773198,3.603575386137751
EC-GI-10,984333,-3.051872608344357,3.786953651519387
UM-UC-3,65064,5.20081189901683,1.3213375109017544
HSC-2,9926054,1.7452128350759892,3.1060648779081994
MDST8,654092,-1.4293910300938224,3.823882333869628
EKVX,24748573,2.2744575139501344,3.679520147024892
SK-ES-1,11497983,-3.868701068407193,0.09153238239129304
SUP-M2,11228183,1.4312436466104836,0.695460843944828
ESS-1,24901704,3.989977980383822,2.1040641993277434
TE-5,54678924,1.5236248369971253,0.31590149999811834
PSN1,11497983,4.375113595289177,0.5363561124857952
SW1990,2858523,3.108665147059129,3.823630800603896
TE-11,5113032,4.532325102566281,3.03607746962508
ChaGo-K-1,72193861,1.1879509711321792,2.868571344538933
QGP-1,65064,3.8645676687152606,0.9948844086964725
RS4;11,654092,-1.6972495587318472,2.602882021586045
SK-LU-1,25183872,-0.961168082495074,1.6955774630446776
SaOS-2,72376,-1.862865015628177,0.8991727480905722
SK-LU-1,10410894,2.884082843020363,3.6552534302415376
HCC1428,6917907,-5.488444788350978,3.609474528243694
SF126,9926054,2.7905707570317686,3.505597598129796
KYSE-140,24901704,4.0115836326370955,1.671979048481956
MDA-MB-415,6917907,2.958069882684443,3.6343329378110285
RPMI-7951,26596,-1.730558618097036,1.974772065450614
Daoy,10410894,3.6077495689381105,2.9735875244825434
SU-DHL-10,11404337,-3.1168849698273404,1.773264411380223
GB-1,72376,-1.8437115420113963,0.8732164991087467
OS-RC-2,sirolimus-bortezomib (250-1 mol-mol),1.663291645677193,2.178851649636977
BICR 22,3038522,1.9324211832044784,2.875284595644364
NCI-H661,3025944,3.908905198351104,-1.0120668254381158
CAL-51,49850262,3.6300011952383584,2.544552412378465
NCI-H460,2858523,3.1665522277325575,3.8756906981886403
NCI-H1915,25183872,-1.594925768430462,1.4635376643807658
A-172,11404337,0.9074451848226016,1.9765994316227466
SNU-81,6917907,-6.2756065511253185,3.131609992353274
MSTO-211H,54678924,1.5146991125566602,0.2671432583924834
HL-60,selumetinib-UNC0638 (4-1 mol-mol),-1.506616407421839,1.8632188444685631
HCC1937,24901704,3.9753075077372455,2.2329995794867394
RKN,2858523,3.2318364946727653,3.8885454557191412
SNU-475,selumetinib-BRD-A02303741 (4-1 mol-mol),6.852928294011391,2.2203340096390165
GDM-1,65064,5.217691035753028,0.3782169550079382
NCI-H460,5351362,3.0809857123464037,3.5710528841066997
SNG-M,11228183,1.1271917089611163,1.5293008232104588
BxPC-3,72193861,-0.2425633398981322,2.5888041745275854
OCI-M1,984333,-0.2349308912523499,3.139227749351668
U-251MG,72193861,3.1701073805444255,2.6822104874431005
HOP-62,71729975,2.57008704117282,1.7752922373183397
IA-LM,49836020,4.225846480888235,1.4547941035705005
Hs 940.T,25183872,0.5820608238875664,1.5026009602217565
RKO,5351362,1.5688417029382893,3.2323217967755564
NCI-H2009,71466380,3.950405172838994,2.5177362757365263
Karpas-422,25183872,-1.8512729311509144,1.0344151531416519
U-118MG,65064,4.643271862416724,1.421415022802948
KCL-22,selumetinib-UNC0638 (4-1 mol-mol),3.126709516806407,2.3073729036849686
Daudi,selumetinib-UNC0638 (4-1 mol-mol),2.5339399670169827,1.8261887823231262
COR-L95,25161177,5.647598761093448,2.4254492763872806
HH [Human lymphoma],25183872,-4.251161710153242,0.7054527254701957
SU-DHL-10,26596,-1.8221428143230487,1.8029568168482535
P12-Ichikawa,sirolimus-bortezomib (250-1 mol-mol),0.3718187399928814,-1.2043026407496207
DMS 273,46907787,0.4735517334159472,1.2017624948905734
MDA-MB-453,46843906,1.4379824902109608,0.8587190791600731
Mel JuSo,sirolimus-bortezomib (250-1 mol-mol),1.422716190739553,1.932221780020296
KYM-1,4578,4.792803116889305,3.763776077906793
HDQ-P1,25183872,-0.1008791418828325,1.919300238411575
KM12,5351362,1.3474366823800878,3.3993060917473024
NCI-H1105,11228183,-0.1084209797390395,1.2482851860137487
NCI-H292,3038522,3.811290582208577,2.8825798866695256
DoHH2,26596,-2.141975510207564,1.5428626455672723
HOS,135411,0.9561696617155332,2.933824204242622
KYSE-180,sirolimus-bortezomib (250-1 mol-mol),1.6916229080787213,2.0321813518263614
MOLP-8,44566777,0.3680572795114795,1.6159023712370848
Karpas-422,6917907,-5.654366357922142,3.0369548749722886
MDA-MB-231,11404337,0.2282829933143647,2.0908857185201852
NCI-H446,654092,-1.9395075355692484,2.984750685127576
SW48,11404337,-1.6842588085779022,1.8793256503034952
MDST8,11497983,4.366208744407351,0.8433224811083195
NALM-6,49836020,4.594148282336944,0.6864820793072545
Hs 940.T,11404337,-0.6222132136822929,2.0712186581312406
TE-6,135411,1.1786200606916124,2.8476736021760405
OAW28,24901704,3.441244042276163,1.8255262421298255
ML-1 [Human thyroid carcinoma],26596,-0.6105391992480588,1.9891482759409558
L-540,24901704,2.0220508562329855,0.2900430902539943
Hs 578T,46843906,1.9405452971753636,1.7276851040088348
UACC-812,426756,4.999419351863596,3.643569646909728
SNU-407,65064,4.53452279558876,1.0637068678252493
KATO III,selumetinib-UNC0638 (4-1 mol-mol),4.294274768861241,2.8462269633071826
RS4;11,53495165,-2.599943409315268,1.6466032785078804
EFO-27,26596,4.577324640946523,2.0541715537894127
Karpas-422,4578,4.102594872772706,3.109909934212934
CCK-81,5351362,1.3750140202698955,2.583046311596862
AsPC-1,11228183,2.8237254667802474,1.9503282407153353
OPM-2,selumetinib-BRD-A02303741 (4-1 mol-mol),2.0894009030955245,1.5788172696973204
A-549,46907787,5.023259811787708,3.164718306375662
VCaP,5311,0.770948516721253,2.5694139167003716
KMRC-20,71466380,5.209336168619487,2.308363739746132
A-549,984333,1.2425209062100595,4.1554078433478425
COLO 680N,6914657,-4.61965294383369,3.8258107208261394
SUP-T1,135411,-0.5274545577034621,2.553645147827069
8505C,6610355,3.644148528088613,3.649836276685455
OV56,56649450,4.314654620473665,3.9949002303175734
LS123,5284373,2.2652517402248686,1.0103663531226714
SNG-M,65064,5.713462407275854,1.574316213429528
G-292 clone A141B1,selumetinib-BRD-A02303741 (4-1 mol-mol),4.606867325018595,2.3022741714452524
OAW28,71466380,4.3449274646859495,2.531724530585639
NCI-H460,6917907,-4.956095121428261,3.7459431197681554
HT,25183872,-2.1967825576916766,1.1817775276761089
EN,53495165,2.7892945964496736,2.4237913210203557
BICR 22,53495165,-1.022289455565369,2.9105298875743646
NMC-G1,24748573,2.263056117516828,3.2628803981535053
SiMa,11404337,-1.9067460076304843,1.599476103950325
RL,24748573,1.634016711863875,2.8104362208958586
ACHN,25161177,5.044305255978691,2.623914860535684
RERF-LC-MS,3025944,4.157794890121567,-0.8815931303205812
MOLP-8,5284373,1.9803114216772224,-0.599456867267156
SiMa,426756,2.1420691818378783,2.850556878461767
SW1271,46907787,1.639327018501732,2.2914200521469064
TCCSUP,5351362,1.0787076559340512,3.4968863229917115
ALL-SIL,5351362,0.9273092220520184,2.2104362246237215
