cell_line_id,drug_id,response,predictions
8305C,387447,-4.500899735651715,3.033491397487216
COR-L88,navitoclax-pluripotin (1-1 mol-mol),-1.5949102346497075,-0.18360073948589423
A-204,6852167,1.599589382352186,3.069064311873256
RKO,56963564,0.5825206420774123,1.8620150821772088
NCI-H2110,71466578,5.140572162086394,3.6009404558087006
TE-4,16013152,4.906129423274357,2.4431079396545825
HH [Human lymphoma],1242560,3.32390112316198,1.882355056026104
SF539,65628,3.9792533711127582,3.380335442046203
NCI-H23,23635314,-5.442723917738421,2.955127695954119
PaTu 8902,selumetinib-navitoclax (8-1 mol-mol),2.7909772109313677,-1.2667315426094234
BT-474,navitoclax-pluripotin (1-1 mol-mol),-1.0742415040750295,1.4491914217454265
JeKo-1,9887053,3.7322509372114014,2.9847764463667747
LOX-IMVI,387447,-3.914151602497852,3.003864747294138
SNU-407,31703,-1.0082438644148106,2.6252334291354553
DBTRG-05MG,selumetinib-navitoclax (8-1 mol-mol),3.4962449153721207,-0.7745074567781512
KCL-22,31703,-1.5309131877847932,2.4997089883699726
TOV-21G,11626560,2.4592668956667234,2.186317467919849
UM-UC-3,44543605,4.331754584190267,2.3459263007889892
DMS 273,135421197,2.3407622077730035,0.6995331023158669
NCI-H838,navitoclax-pluripotin (1-1 mol-mol),-0.5686926349029187,1.7737987475978785
A-375,6852167,3.704250523230319,3.0551152520111033
SW1088,568763,0.7007246011422348,3.4599132029473383
RMG-I,6438330,0.8788741395076296,2.3829130678536674
647V,11626560,1.4953124567230809,2.6136530334059613
CHP-212,9887053,1.8136622207304371,3.545885625880636
SW48,1242560,3.5610164041067645,1.820089480561667
UO-31,56963564,0.4873946868914756,1.7489406472027227
KYM-1,11364421,-3.8755120502765834,3.191959265252842
HGC-27,6438330,1.3740169821590456,1.5152177639824531
LS180,navitoclax-pluripotin (1-1 mol-mol),-0.4771322903655018,0.8739127897105419
TT,3854666,3.3139239024984586,2.471249200811746
TALL-1 [Human adult T-ALL],71466578,3.722792588811551,2.3893037228808125
WM115,44197249,3.814304480361476,2.476035217172267
GCT,65628,3.937581767993038,3.714669154311376
SCC-4,387447,-3.782373095512828,3.3711882818079677
THP-1,135421197,0.9721009186640236,0.23483464307076357
HCC1395,135984461,4.308264403922993,2.423317379453223
EKVX,1242560,3.643397976118514,2.436737523978999
KMRC-1,53392493,3.2185750963739026,3.1817362332805703
HARA [Human squamous cell lung carcinoma],11507802,1.3937860028408913,2.580587614637858
SNG-M,11626560,1.817058584385788,2.5093381890933117
TT,421610,4.269587266709857,3.201479178139779
A-549,carboplatin-UNC0638 (2-1 mol-mol),3.4182683209917206,2.0536299202749326
HCC366,446155,2.507013203557048,3.353670702839427
HGC-27,44543605,4.098474383739348,1.9319255290680204
Rh30,568763,0.0447634760099069,3.2170311430159133
SK-N-FI,selumetinib-navitoclax (8-1 mol-mol),0.8531723664973885,-1.908299848939531
NALM-6,57330099,4.047483393284192,2.0496323906767797
Lu-65,24772860,-2.8621529229367417,2.0588129191527913
