cell_line_id,drug_id,response,predictions
ECC10,56973724,1.9827753072040135,0.06673844941767734
UACC-257,UNC0638-navitoclax (1-1 mol-mol),3.0893651600544096,1.2715118655096558
22Rv1,6918328,-0.4288585657869615,1.8213908675425643
KALS-1,25102847,3.196145388858035,2.820879695365958
MOLP-8,11612883,2.388158793316403,1.0712905415831537
GCT,3081361,1.6922234475015856,1.6101710902272997
NCI-H292,9935249,3.8808310590786,3.1405274797365363
EoL-1,BRD-A02303741-navitoclax (2-1 mol-mol),-1.725431006019431,-4.505133966589383
SIG-M5,46926350,-5.121747869995948,-0.3972178528741541
OVK18,11427553,3.63610966472945,2.493551783195829
SK-N-FI,9903786,1.217997719739724,1.5233604964387049
KALS-1,2841722,4.620534945057791,3.987752385722365
SK-CO-1,vorinostat-carboplatin (1-1 mol-mol),2.626947191906058,1.3492443886904033
SNU-423,5311281,1.00024651229924,3.483977774817572
JM-1,11175137,0.9157477453434189,1.9092236653931716
B-CPAP,135875424,3.307629887397838,3.0981835375843763
PSN1,11175137,2.8909846176365592,2.527968589009798
Daoy,3543504,4.132904139277028,4.087781683683431
D283 Med,24821094,1.9076821647913431,0.9651607459896444
G-401,9549297,1.736191202159007,0.7121971796715492
Panc 10.05,216345,4.359083017393204,2.1429590884847913
SNG-M,5311281,0.8673399691435586,3.5260992182649833
D283 Med,5978,-3.0503373024803557,0.4366225220695288
SNU-5,216345,4.056420479134934,1.8029449494586611
A-204,56949517,5.324365185243357,-2.4582198761402365
5637,24978538,0.6485463947372522,0.6916203558731888
786-O,445643,5.266626358607012,0.8674209372119536
ONS-76,5746,1.4703359849180313,2.327172737874709
KYSE-180,9903786,3.667884143051944,2.0178889860816334
SNU-5,selumetinib-vorinostat (8-1 mol-mol),2.3569567628578176,2.3031823782084233
HARA [Human squamous cell lung carcinoma],ISOX-bortezomib (250-1 mol-mol),0.5382016887520487,0.5981944337082143
Granta-519,JQ-1-UNC0638 (2-1 mol-mol),-1.2323689665878552,1.6789758492033804
YH-13,216345,4.472180809621783,1.98636342577979
IGR-1,24821094,3.977080807017851,1.9090586323463556
SW948,216345,3.8478701746280506,1.9599042622564786
KNS-62,5746,2.0120703748628608,2.673637304220759
SNU-449,56949517,4.374997906660537,-1.5633042282208287
CL-11,56949517,3.8274125444618057,-1.1985658133200692
BHY,3543504,4.27239492877783,3.7544104774513753
U-251MG,JQ-1-UNC0638 (2-1 mol-mol),2.902874039608064,2.4469723910456707
MDA-MB-361,selumetinib-vorinostat (8-1 mol-mol),1.866211608168264,3.8360630862490983
KNS-62,UNC0638-navitoclax (1-1 mol-mol),3.437270318122968,1.6997755789510693
CAL-54,BRD-A02303741-navitoclax (2-1 mol-mol),4.109330437916048,-1.033888664472744
CA46,46926350,-5.311040218420036,-0.987259789427163
BV-173,vorinostat-carboplatin (1-1 mol-mol),1.878462476708255,0.2725196956045702
A-253,11175137,3.0952826117315464,2.6557090156256256
FaDu,BRD-A02303741-navitoclax (2-1 mol-mol),3.492708800306725,-1.9079783421041603
NCI-H1105,JQ-1-UNC0638 (2-1 mol-mol),1.470468058571248,1.9302634230198137
HuP-T3,445643,4.0158423100173986,0.626942893670547
OV-90,selumetinib-vorinostat (8-1 mol-mol),0.8269808058743753,2.1288789456546824
GB-1,selumetinib-vorinostat (8-1 mol-mol),3.3033356812645,3.455414835976033
Hs 940.T,selumetinib-vorinostat (8-1 mol-mol),3.949639758307315,3.7877394593725766
JVM-3,JQ-1-UNC0638 (2-1 mol-mol),-0.3897463797227661,1.5784043980896174
A-253,24978538,2.828117821285556,1.9335918934569412
HARA [Human squamous cell lung carcinoma],16115403,-4.2638303939611335,1.5481471643342792
5637,452548,-1.076444646722141,1.0279635204055857
OPM-2,5470400,-0.1217933569770787,1.7952690270580727
CML-T1,3011155,1.2837041284349135,1.458953199246475
DU4475,5746,-2.860556818974929,1.9204334060844404
SR,ISOX-bortezomib (250-1 mol-mol),-0.2065845097900688,-0.41111919466974683
Ku812,156422,3.166038236669379,0.13141101474252656
NCI-H929,3825829,4.289333234926349,1.9956634514079903
COLO 678,11175137,3.496631545186363,2.5207361768110363
AU565,JQ-1-UNC0638 (2-1 mol-mol),2.17780253884304,2.344665305296674
MOLT-16,3011155,4.234947766729468,1.269878748757853
UO-31,24978538,0.8159299074921595,1.2572995378566911
ECC12,3815108,4.682053238397993,2.2266600598167674
NUGC-3,ISOX-bortezomib (250-1 mol-mol),0.6956388241450759,0.5084001654649459
EM-2,11175137,-0.0823473660124878,2.03705147914172
Calu-6,156422,5.080545422567965,1.77864460412042
NCI-H1105,216345,3.646195429673662,2.076598476523539
K-562,3081361,1.217245739162405,1.2327912617474888
A-253,16725315,3.1491477457918826,2.6451453929834634
QGP-1,452548,0.113976312601319,0.07690624584496832
SK-ES-1,JQ-1-UNC0638 (2-1 mol-mol),1.0646046319460858,1.9991820633552329
ECC12,135423438,4.440785881559049,2.8712068871745173
MOLP-8,JQ-1-UNC0638 (2-1 mol-mol),-1.954296009625891,1.723550357778435
RERF-LC-MS,5566,3.05978093065268,1.2980408289640541
LS123,11427553,3.4945244462213663,3.2865033063656557
SNU-C5,135875424,2.310166721767538,3.027136700052687
SU-DHL-10,52912189,-0.1679130511490421,1.3015057065751694
COR-L279,6918328,-0.1878133066216319,1.8066343078042075
HCC1806,JQ-1-UNC0638 (2-1 mol-mol),1.9982241267395784,2.6876333769743868
NUGC-3,selumetinib-vorinostat (8-1 mol-mol),2.91278989567709,3.795994007717228
RCH-ACV,44493952,2.971216444393721,2.8883301142087037
Caov-3,216345,4.1584155551225885,1.966722666875169
GB-1,5311281,2.0215787410222616,3.309781338300785
SH-4,5746,0.9693520918969472,2.4560840457239097
KATO III,tretinoin-navitoclax (4-1 mol-mol),6.356282145249833,1.2141639986545356
CHP-212,5978,-3.291232307768633,0.38874357688825634
NCI-H358,16725315,3.865277080118062,2.317930982787757
KYSE-150,5746,3.2731258167419996,2.3746308031612853
HSC-3,11427553,3.124864958342948,3.168535560253558
J82,6918328,1.8323741813844368,2.2377734820013324
LOX-IMVI,9903786,2.476339692878584,1.934469238481432
IGR-1,selumetinib-vorinostat (8-1 mol-mol),1.2502749786155671,2.1154655804861555
NCI-H1568,5746,-0.0019321539800122,2.302526423467118
ChaGo-K-1,JQ-1-UNC0638 (2-1 mol-mol),1.6534960397455791,2.3189041845793787
KYSE-510,52912189,5.071927062590809,1.3287934308581313
BxPC-3,3815108,3.682439325637505,2.3426121818870644
BT-549,ISOX-bortezomib (250-1 mol-mol),0.1826356805695565,0.8147122023683386
A-549,vorinostat-carboplatin (1-1 mol-mol),3.5732632366537893,1.9546673389719864
SCC-9,3081361,1.719146178558617,1.6383792870048277
SCC-9,135875424,4.9754653396039314,2.9699110411670677
GCT,11175137,0.4598197047734974,2.5020735078543037
SW620,11427553,2.7125103182007493,3.145684410005233
COR-L105,6918328,0.8369476830507139,2.2686221816085417
SK-MEL-30,11612883,3.4912278115585385,2.4540335025938695
NCI-H2029,selumetinib-vorinostat (8-1 mol-mol),2.618172827263168,3.8066801115606848
G-401,54626689,4.421186382617726,1.939575504571665
DAN-G,5470400,-0.7561876278347965,2.8665603068502157
SIG-M5,11612883,1.505240829042385,2.0046485265159966
EFO-27,71680916,4.9682795090816185,3.9762701542344603
Panc 03.27,52912189,5.687036017467693,1.5194526597053284
Rh30,676352,2.337683034322569,2.15883094649345
NCI-H2009,16725315,3.943728055015544,2.0759992929062037
KNS-62,ISOX-bortezomib (250-1 mol-mol),1.5536963173396685,1.242963557006101
HT,11175137,1.3187132729730648,2.242293005114567
A2780,451668,4.676838081876032,2.3462675539402285
NCI-H1793,ISOX-bortezomib (250-1 mol-mol),2.0059693464825537,0.3768668490542153
SK-MEL-28,676352,2.519073281227085,2.7407089011764247
UACC-62,676352,1.7145318994600174,2.3939825552124834
EFO-27,vorinostat-carboplatin (1-1 mol-mol),2.7861871023454077,1.70394191056332
KYM-1,24821094,2.997925625027499,1.6205468001338774
NCI-H460,selumetinib-vorinostat (8-1 mol-mol),4.393726513412324,4.054792176227348
SW1990,45100481,5.275366410533853,1.5212262985959384
SF268,11612883,1.7699638099606394,2.2039471987625365
OPM-2,52912189,-3.1407059889083424,0.9821334712949931
KM12,9903786,1.2751766913602836,1.9388370704835252
SCC-9,9549297,5.273243325738832,1.7125405785206462
SK-N-SH,11427553,1.49208561139858,3.1133459058672663
COLO 684,24821094,3.202812687714951,0.7979149134375626
VCaP,JQ-1-UNC0638 (2-1 mol-mol),-1.5454078219453378,2.153828291750376
DMS 53,selumetinib-vorinostat (8-1 mol-mol),2.453431663164935,3.4034241588806573
SCC-9,25102847,2.571358625043281,2.5723888216886253
DMS 273,445643,4.452334519038606,0.11662455279317464
SCC-4,135875424,3.69532319714556,2.9008132384598757
BxPC-3,2841722,6.186043735824486,3.8414285852813195
L-540,BRD-A02303741-navitoclax (2-1 mol-mol),0.4977242482114718,-3.549711164442546
L-363,11612883,1.6864876330962797,1.3812514921981975
HT115,5470400,-3.308453430711624,2.106389485116917
RPMI-7951,5566,2.3477005519736083,1.0190395875593827
OVK18,11612883,2.545862434726239,1.4092573678946083
SF539,selumetinib-vorinostat (8-1 mol-mol),3.0121970622277248,3.3084992899971737
A-204,11427553,1.0454039871927978,2.8646198650378967
SW48,452548,-3.152923699933953,0.4320237445525866
Mel Ho,16725315,4.875978236883485,2.3265324210368648
TOV-112D,vorinostat-carboplatin (1-1 mol-mol),3.970577510186065,1.3183510836649879
HSC-4,9935249,3.700870290975298,2.9781041320822044
TYK-nu,JQ-1-UNC0638 (2-1 mol-mol),2.8987879826281997,2.3981417792097104
UACC-62,vorinostat-carboplatin (1-1 mol-mol),3.723191496233268,1.4799479807831666
SKM-1,tretinoin-navitoclax (4-1 mol-mol),0.5849402207655147,-1.0627145111394136
647V,vorinostat-carboplatin (1-1 mol-mol),3.4376539816242926,1.5566032430900334
RS4;11,3543504,2.0293663012712684,2.5276498976941015
TE-8,54626689,4.536608130193031,2.475832388688435
Panc 10.05,54626689,4.8438884977610135,2.5005690511416963
SU-DHL-6,9903786,1.8029536633965553,1.237084218121514
SK-N-DZ,9903786,2.0344840639265787,1.4861286266754086
ECC12,5566,4.004648903212748,1.0943520716044828
GCT,135875424,3.965319619265028,2.9196757971159526
OCI-AML-2,11427553,0.9107271135911909,2.607007114482339
PaTu 8902,16725315,5.393152185048805,2.3237320611217864
HCC1419,ISOX-bortezomib (250-1 mol-mol),0.4566933040017161,0.5946342901254836
GaMG,6918328,0.3891057705918528,2.308276660157138
SR,135875424,2.4827533420158376,1.760720472218111
COLO 684,3543504,3.438853099769263,3.311096701650266
LN-229,6918328,0.4984095871365762,2.1855935727914537
ESS-1,216345,4.629850284617237,1.8274252955261738
NCI-H441,9935249,4.015307304312089,1.5649888727986647
SK-MES-1,56973724,3.343486132860641,1.6021719022309318
COLO 680N,11612883,3.382329915919818,2.7370035244281286
RL,5566,3.0271541492463183,0.6516367667067087
DB,3825829,1.8965329067227965,2.2237744497911693
BICR 31,16725315,5.360398456728244,2.4307221695635803
HCC1937,11427553,3.7218274383782,3.3001373132656657
SH-4,24821094,3.123686688875071,1.8791690846639804
COLO 792,BRD-A02303741-navitoclax (2-1 mol-mol),0.1077120396616147,-1.2908181049261571
SNU-423,selumetinib-vorinostat (8-1 mol-mol),2.465169855614971,3.6644203494094034
NCI-H1155,3825829,2.76644844422124,2.6471670559992293
NCI-H526,3825829,3.586382874927845,2.689353222544664
SK-N-FI,24821094,2.7384398013745264,1.2433709808386473
A-498,10026128,4.231838396167064,3.21317830963794
CAL-54,216345,2.3030156302667604,1.6639334330167315
NCI-H446,3825829,2.631896077384849,2.4973719910698353
SNU-5,11427553,2.57126874993904,2.3511039122742083
EKVX,25102847,1.8672475503346224,2.823928678364698
TE 441.T,71680916,3.746145752189325,2.9656638466102128
MFE-296,ISOX-bortezomib (250-1 mol-mol),1.2542866724971138,0.3068407376283437
KATO III,25102847,-0.885497610596194,2.3166373323486225
NCI-H441,11427553,3.4295623816048098,2.490473972127513
LCLC-97TM1,5566,3.3253657103683976,1.3411614835686745
T24,24978538,1.6415251312048922,1.7747557148172186
FaDu,24978538,3.0437725503741473,1.7561571504588749
A3/Kawakami,135875424,3.019357204965879,1.828054697589277
CAL-12T,5978,0.4383429129561492,1.012166552144516
MKN7,ISOX-bortezomib (250-1 mol-mol),0.173677942399734,0.746285514609253
HCC827,16725315,4.355369301432131,2.368710673223828
HOP-92,5470400,1.6515798526459493,3.092040862297942
SW1271,11612883,2.3755529899406604,2.7192266146922055
KYSE-150,ISOX-bortezomib (250-1 mol-mol),1.0475552640444563,0.8441266950675882
EJM,9935249,2.9209217117855903,0.7382540877421866
NCI-H810,54765302,2.068961912755322,0.9564040683956689
NCI-H2405,676352,2.054431100029139,2.404078764417738
TE-4,9549297,3.640246598325318,1.66355455803289
NCI-H522,71680916,3.6078643166976896,3.0553811873144205
SK-N-DZ,5978,-3.4376109535709154,0.744165667607627
HGC-27,JQ-1-UNC0638 (2-1 mol-mol),0.4820693582404344,2.3456703591826407
NCI-H1650,216345,4.510835328929203,2.247161193324114
LS513,BRD-A02303741-navitoclax (2-1 mol-mol),4.1689714001120155,-2.035194102884978
NCI-H2444,5470400,-0.1379196889472174,2.8823496417462002
RCM-1 [Human rectal adenocarcinoma],46926350,-4.0983765968922485,0.5587552233492762
HCC1569,5470400,-2.0930891891397514,2.8566751988271886
G-292 clone A141B1,46926350,-3.770339068321615,0.07750226026101614
HuH-1,9935249,3.147472490702491,2.968230726273361
COLO 829,selumetinib-vorinostat (8-1 mol-mol),0.6653479490850627,1.7568388648190398
NOMO-1,11175137,1.3676050257567425,1.9864222729963281
SF268,5566,2.9856135939241786,1.1576359592011156
LP-1,16720766,0.5935045352433532,1.5167942419637526
P12-Ichikawa,16115403,-5.561332712665655,0.07053145719498588
UACC-257,vorinostat-carboplatin (1-1 mol-mol),3.1848413268861484,1.648469249587206
A-204,135875424,2.7744609418453887,2.849851266697651
OV-90,11612883,4.125720937912581,2.7366615806913956
CAL-51,vorinostat-carboplatin (1-1 mol-mol),3.249812174722343,1.20380114112672
LAMA-84,451668,0.3932492970407221,3.1907168329827496
NCI-H23,16720766,0.6671989014860248,2.2929624751500772
KYSE-150,5978,0.53694822477171,1.2290478580704747
SK-MEL-28,216345,4.760826301733561,2.459222821955579
GB-1,135423438,1.7622813158496486,3.3197198954041687
