cell_line_id,drug_id,response
NCI-H522,107985,-4.282222583037789
T-47D,12001922,1.6846043239778687
ONCO-DG-1,135999136,1.5915820066692796
DMS 454,12001922,1.2881940625035937
IMR-32,selumetinib-tretinoin (2-1 mol-mol),3.623951247347857
MDST8,JQ-1-MK-0752 (1-1 mol-mol),1.445543393100169
MeWo,31703,-0.3651455312288802
BICR 16,31703,-0.4643965927579459
SR,BRD-A02303741-carboplatin (1-1 mol-mol),3.197584993945912
T24,6505803,1.3138000670292382
NCI-H1573,JQ-1-MK-0752 (1-1 mol-mol),1.714008986772898
BT 440,4378219,1.9559827950979
NCI-H1869,31703,-0.0434043445350208
HEC-151,12001922,2.1072309594101086
SNU-626,JQ-1-MK-0752 (1-1 mol-mol),1.970978624915572
5637,selumetinib-tretinoin (2-1 mol-mol),5.265134943837644
SNU-423,selumetinib-tretinoin (2-1 mol-mol),4.112042588554093
NCI-H1105,selumetinib-tretinoin (2-1 mol-mol),5.0143644073662825
ESS-1,135999136,4.050088319286221
G-361,107985,-3.212600988667039
HCC2279,12001922,2.191746757262951
BT 164,252682,6.140777086628854
NCI-H2342,JQ-1-MK-0752 (1-1 mol-mol),2.0415540491524515
CMK,31703,-0.807975468417467
OVCAR-8,31703,0.3552897747768067
Caki-2,selumetinib-tretinoin (2-1 mol-mol),7.536481629170841
SK-N-AS,selumetinib-tretinoin (2-1 mol-mol),-0.7614076970649476
RKN,12001922,2.582060834791438
HEC-251,selumetinib-tretinoin (2-1 mol-mol),6.2547948465069
NCI-H146,6505803,-0.3489025917214021
NCI-H2342,31703,1.0440124718222668
BT 428,12001922,1.1406957911423092
OCI-M1,JQ-1-MK-0752 (1-1 mol-mol),0.5861943942758187
PE/CA-PJ41 (clone D2),107985,-2.5138911601110254
SU-DHL-10,107985,-4.179844199483331
L-428,31703,-2.405371251103741
Lu-99,107985,-3.777908529109632
NCI-H1703,9908783,6.1279803453166
A-673,31703,-3.778183583095139
KMS-12-BM,6505803,-0.6027320108546551
DU4475,6505803,-2.3168305657918156
D283 Med,31703,-2.9030613182863205
AML-193,4378219,1.2402464882131368
KP-2,107985,-3.092372796276895
KMS-11,44487872,4.082164397360745
Daudi,BRD-A02303741-carboplatin (1-1 mol-mol),4.3065470056962765
TOV-112D,107985,-3.748470845385748
WSU-DLCL2,107985,-2.886863580578064
NCI-H460,31703,-0.6563705559837907
SW982,31703,-1.960056013435025
SYO-1,BRD-A02303741-carboplatin (1-1 mol-mol),4.267038515411921
YD-15,selumetinib-tretinoin (2-1 mol-mol),0.2161530226347134
HCC1833,4378219,1.832290560559543
MEC-1,31703,-2.456390056509949
U-118MG,6505803,-0.4944359132104617
PF-382,JQ-1-MK-0752 (1-1 mol-mol),-3.722439254577736
NCI-H520,6505803,3.2437812579556864
SNU-308,12001922,2.139310360120992
NCI-H446,31703,-0.7838329399417255
CA46,6505803,0.7805822725654986
MCF-7,12001922,1.7200036674392143
JHH-6,4378219,4.006238945465007
MDA-MB-157,107985,-3.8805729202788304
SNU-886,selumetinib-tretinoin (2-1 mol-mol),2.050620006893266
MeWo,6505803,3.0730315194784947
K-562,107985,-3.1543528536618175
