cell_line_id,drug_id,response,predictions
P12-Ichikawa,26596,-2.168612597742571,-1.8624263863939967
EC-GI-10,984333,-3.051872608344357,0.8092742604240161
EPLC-272H,piperlongumine-MST-312 (1-1 mol-mol),1.5737339810671582,1.6630691065820138
MES-SA,9866186,0.9290169733311512,0.6751415677489107
JeKo-1,9887053,3.7322509372114014,2.6374109650564943
NCI-H2110,doxorubicin-navitoclax (2-1 mol-mol),-2.638354806422936,-1.1291238538531168
Daoy,selumetinib-GDC-0941 (4-1 mol-mol),2.0496212726424914,1.5071665330087867
DBTRG-05MG,selumetinib-navitoclax (8-1 mol-mol),3.4962449153721207,2.332669939827186
MES-SA,9936388,2.5692609882827964,-3.7723699761267513
UM-UC-3,navitoclax-sorafenib (1-1 mol-mol),1.365335670698342,1.7969834028200635
HCC1954,selumetinib-piperlongumine (8-1 mol-mol),2.2426733193071793,2.852752963023585
SaOS-2,72376,-1.862865015628177,-2.4920289654025507
KYSE-140,24901704,4.0115836326370955,2.9249801704315015
CAL-33,24951314,1.6899725259176115,1.2485053551328738
Panc 10.05,216345,4.359083017393204,4.116299239817718
CHP-212,9887053,1.8136622207304371,3.0761343627677995
U266B1,262093,2.320136156024279,2.39232128620292
NCI-H2170,doxorubicin-navitoclax (2-1 mol-mol),-1.3543958062007773,-1.2097400021258908
HCT 15,24753719,1.6813989750926222,4.011960048614152
SU-DHL-10,11404337,-3.1168849698273404,-0.7967367184681251
SIG-M5,9866186,-0.469337765591878,0.8147824877703385
786-O,445643,5.266626358607012,3.9745441568872777
KYM-1,11364421,-3.8755120502765834,-2.079349316054686
Mono-Mac-6,285033,-1.982838981659621,-2.529343987594663
OE21,9866186,-0.2003776611728709,0.7920423776796145
NCI-H661,3025944,3.908905198351104,4.218987084495056
AGS,66577038,3.016990223516085,2.8794616150871337
NCI-H1341,25195348,2.892897148639645,2.578932461709042
NCI-H1915,25183872,-1.594925768430462,-0.6218315750182637
Raji,15983966,-4.617791465019002,-2.2417424351390633
FTC-133,10127622,5.496386107928154,4.00955419111468
D283 Med,3689413,-5.066385831563446,-1.1342570498107585
MDA-MB-231,54649381,4.253092807097923,3.9989492842214003
HARA [Human squamous cell lung carcinoma],ISOX-bortezomib (250-1 mol-mol),0.5382016887520487,0.6144301836783653
HCC1395,135984461,4.308264403922993,3.7706713920167463
HCC1937,24901704,3.9753075077372455,3.3439395739466398
RKN,2858523,3.2318364946727653,3.077257391671597
CAL-54,637858,1.3720795157109595,1.974175350736507
RD,2749,2.7695001076987675,1.6536111674789638
NCI-H2228,637858,3.1749317104999673,2.02304687870692
CA46,46926350,-5.311040218420036,-4.781569423397775
SF268,2742550,4.301402217118159,3.638779370250238
LOU-NH91,71304818,3.9209078908272703,2.648633099557931
Lu-65,selumetinib-GDC-0941 (4-1 mol-mol),-1.6504739583037105,1.063115104870825
OV-90,selumetinib-vorinostat (8-1 mol-mol),0.8269808058743753,2.2526411235580333
Calu-6,4261,2.6614542113118738,1.5097906847912637
LCLC-103H,241158,3.440238106244061,3.9529651317083205
BHY,54454,2.8209091917402014,2.776378643372861
KMS-11,9907093,3.3021977267873086,3.7337530730500443
NCI-H929,46174525,3.514748643502036,3.7751019059988327
LCLC-97TM1,3503,2.904492448420953,2.2411232976296214
HH [Human lymphoma],25183872,-4.251161710153242,-1.617802884588126
NCI-H929,3825829,4.289333234926349,3.681667862179836
MDA-MB-468,44620216,3.761673814466171,4.0933042344958
TALL-1 [Human adult T-ALL],5743,1.4196217489037326,-1.0921475377111454
KM12,5351362,1.3474366823800878,1.5588960940580092
G-402,67156097,-0.6050827581838222,-1.3199661023962832
NCI-H1105,216345,3.646195429673662,3.4251862874150385
K-562,3081361,1.217245739162405,2.331868562258232
SK-MEL-3,44607531,1.7295390257855068,1.6810339390329614
TYK-nu,44607531,2.0275675200107557,1.6607063929629948
LP-1,44493528,4.0079037689618815,4.172426882071921
A-673,2871966,-2.1375369153988597,0.18382571185643257
RKO,24771867,6.323343540042099,0.9237676247709455
MDST8,11497983,4.366208744407351,3.621025762878221
Daudi,6918638,-1.8107043721369585,-0.5476498314850629
NCI-H1975,54619267,3.9921196087581823,4.0695192407259775
VMRC-RCW,24785538,2.7635975621761024,1.8780857034806826
SU-DHL-8,tanespimycin-bortezomib (250-1 mol-mol),-0.6950122900269923,-0.9993671822273298
A-549,1716436,2.5951939484521724,3.1618960863299024
Panc 03.27,448949,2.2004142065371735,1.9380347044098294
RCH-ACV,44493952,2.971216444393721,3.1126199339613656
KYSE-140,16736978,2.1763754897707948,1.366131953809438
Hep 3B2.1-7,73707438,4.515086793447455,4.124630780928296
C2BBe1,2708,7.310620794716233,4.579651220909573
NCI-H522,4477,0.4448521837298123,0.3907555397685271
VCaP,44607531,1.331615696470441,1.2404534656415955
IPC-298,57519531,2.914855913975042,2.468259371588607
LAMA-84,24772860,-2.739208636177764,-2.600760227668194
NCI-H211,24785538,0.6658203246447137,1.0949921495157218
SUIT-2,selumetinib-PLX-4032 (8-1 mol-mol),5.091823515387088,3.844240537723685
NCI-H460,11222830,2.8861636193629323,1.6467745049644549
SCC-25,49766530,-2.1571219685765195,-0.6118968578221929
BxPC-3,9911830,2.611582201474507,2.33940388661521
NCI-H146,16038120,1.7989248875403512,1.0438870596621384
NCI-H28,5738263,2.819150961463538,3.2069753242458647
RCH-ACV,24951314,-0.0754853736042561,0.4302937321815915
CA46,5281321,-3.5082232289526663,-1.8548760796280348
TE-11,73707398,1.9159507910668552,1.4388328546693063
SW1088,24753719,4.9947563556598285,4.390038449687031
TOV-112D,25227462,1.3323175912445546,-0.16290047628760296
EKVX,crizotinib-PLX-4032 (2-1 mol-mol),2.581317101995248,1.8116100318466983
MDA-MB-157,9884685,1.398372779004129,-0.030923333700053388
OCI-AML-5,73707398,0.4979905922815086,0.840398620704631
RS4;11,9911830,1.8582637769181332,1.7698840728286263
NCI-H2029,selumetinib-vorinostat (8-1 mol-mol),2.618172827263168,2.332269295023703
G-401,54626689,4.421186382617726,4.290816656223192
OAW28,71466380,4.3449274646859495,4.499266834248111
8305C,168312962,1.6683488310085814,1.2860193686566623
EJM,11717001,5.2726365511414475,3.976780949769485
SW620,selumetinib-tretinoin (2-1 mol-mol),-0.5953849827056693,1.518910132662997
KALS-1,56963564,1.643612023760572,0.7181915019305507
EN,53495165,2.7892945964496736,0.19081902202466622
ECC12,5460769,2.2219131741447913,2.7373227268831175
OCI-AML-5,241158,3.967364233011896,3.8001489224241163
EFO-21,4521392,4.366494358337353,4.368843625232214
SUP-B15,5743,-5.817907177792523,-1.5163913011742307
SaOS-2,119607,5.401113896800015,5.054298846607306
KYSE-150,107985,-3.63550255760894,-3.8871471082117734
SK-MEL-24,2746,3.4655100940792254,2.81167534177107
RL,24748573,1.634016711863875,1.762448092761266
NCI-H647,613753,3.236416210467872,3.329951032293566
LCLC-103H,16219061,5.306010014393872,3.38698475254786
JVM-3,15547703,2.759765855361666,2.8047119065251476
Rh30,19582717,6.071105591881468,3.906228085070575
CAL-51,selumetinib-GDC-0941 (4-1 mol-mol),1.9069951643813725,1.202035898304557
NB4,4788,5.454207952443488,5.2285811805308136
CAL-120,46199207,3.556867057582783,3.3552836651142677
ACHN,25161177,5.044305255978691,4.172860596744377
MKN45,4259181,2.854305904234322,0.5049189828133277
MDA-MB-361,51039095,3.727391155984073,2.7281666575111116
OVCAR-8,5281321,1.8451998466970152,-0.7701137439098623
TCCSUP,5351362,1.0787076559340512,1.5968680130161372
SW1710,4917,3.5065827762791533,3.131274267882501
HL-60,23635314,-4.128458467591936,-2.819857516077248
SK-MM-2,135411,-5.030603017749758,0.4483118335807747
LS180,1641662,3.031869457755623,3.307519219290528
NCI-H211,53481919,3.235078564260439,3.62009509140074
HT-144,446155,3.7750215426867486,2.9859355136807846
VCaP,JQ-1-UNC0638 (2-1 mol-mol),-1.5454078219453378,1.321432546995088
NCI-H2029,5328940,2.2869498480067376,1.703209097458157
SNU-C1,navitoclax-sorafenib (1-1 mol-mol),2.2291892871185217,1.5386092424866478
NCI-H1651,9866186,0.1521633792838485,1.1333753493382093
BHY,24771867,4.455301160419176,2.159811080547735
EN,409805,3.3343826376053154,4.707362343036703
L-363,11612883,1.6864876330962797,2.2456396125380467
KMS-12-BM,selumetinib-navitoclax (8-1 mol-mol),1.0992303518305886,0.694070618717009
HCC2218,72376,-1.8929847607660144,-1.223821940887148
NB4,24856436,-0.4632049721351097,0.07668702881309393
NCI-H2110,54596490,5.001361284562202,4.515161588684361
MSTO-211H,56649450,2.845391743702004,3.390572769886368
TE-10,11396600,3.9393585387483334,3.724077029177894
Panc 10.05,54626689,4.8438884977610135,4.392526926430712
Daudi,151289,0.3893937359913983,0.5591357043265404
647V,11609586,2.6761550897769095,2.8504230081414796
MOLP-8,51037431,3.96461280344528,3.0218891651248
SNU-475,72193861,2.773275266642409,1.904791376343325
KYSE-520,11238147,3.2028993998989947,3.010580566769532
LS180,46907787,-0.2837252988913812,1.066530740156575
Rh18,56946209,-3.3359253382027574,-4.019514305027428
SNU-398,25183872,0.4129695024094059,-0.7146336679199453
HuP-T3,54613361,5.307179038572215,0.3255388479774775
NCI-H2342,9911463,3.680960249446254,3.8757962250847724
TALL-1 [Human adult T-ALL],2949965,2.4346214607723975,2.249066595356142
22Rv1,24772860,-2.4049010133383466,-2.3770556801960065
A-375,71304818,2.8785923323896596,2.495319444071198
SK-ES-1,637858,1.1648710207866575,1.4784155089965807
NCI-H441,9935249,4.015307304312089,2.9281041805214376
TE-15,12003241,-1.6215722433150963,-0.913615425528149
COLO 684,10302451,4.647371569023228,3.202983623144772
8305C,25062766,1.5435225414111426,2.331806439719026
OE21,135984461,4.867121216346128,4.121654307313031
VCaP,5329102,1.5039144858995914,1.9459719612396742
SF539,387447,-5.002674810102925,-4.414785986142012
SW1990,9840324,6.0153251354755914,5.817880901957402
COLO 680N,25126798,4.151787613251857,3.9254465111590746
NCI-H1651,9936388,-1.76189250621897,-0.7717690769722024
NOMO-1,53495165,-0.0338576092201104,-0.48410704026167295
NCI-H196,1716436,5.019622183878195,3.0066349050257815
KCL-22,5738263,2.9133489309652494,2.7967300456262536
LS123,2749,1.1379419970224431,1.6293703753679514
Namalwa,135984461,4.336205571620734,3.09814410979483
FU-OV-1,24856436,0.8416503079264269,0.5037623535541729
TOV-21G,25126798,4.102680902696014,3.7379534912935055
5637,25154868,4.43651850523027,4.339497673987426
CAL-54,409805,5.955024791707747,4.796990363752425
EKVX,25102847,1.8672475503346224,2.6631885002227857
LS411N,navitoclax-pluripotin (1-1 mol-mol),0.0808011312818899,-1.1274215297546517
NCI-H2228,10184653,2.123606452128267,1.8941191139335816
NCI-H522,156414,0.937566519659893,1.1316354423491288
NCI-H2023,15983966,0.3005126520392797,-1.2409777707117589
NCI-H929,sirolimus-bortezomib (250-1 mol-mol),-3.8848205267511817,-0.21451553639384432
SNU-C1,10296883,2.645859922334997,3.70209815124402
NUGC-4,10184653,-3.64577572293382,-0.10610724309314763
OV-90,25161177,4.130250926890858,4.146783625041453
HSC-2,135659046,3.2324626300653465,3.6684734004969624
FaDu,24978538,3.0437725503741473,1.5621924881727862
639V,3062316,2.870597272521525,1.3261669195284
Karpas-422,15983966,-2.597972132371412,-2.8143339699181915
FTC-133,57519531,1.7209799050566308,2.5204434080074467
SUP-B15,10231331,2.8012447297266907,1.4548154777332776
HOP-92,5470400,1.6515798526459493,-0.16414773099109647
L-428,selumetinib-navitoclax (8-1 mol-mol),0.9744796594170018,1.503419679151378
NCI-H522,135659046,3.4944475458884012,3.673960626170053
LS513,126941,-1.6120740736335548,-2.3565027189303116
TE-4,9549297,3.640246598325318,1.923469178584272
NCI-H446,10074640,2.7721293315712705,2.8225841582360567
HOP-92,selumetinib-navitoclax (8-1 mol-mol),1.6104836463383296,1.6951416405606374
NCI-H508,208908,-1.1636792671557423,1.8849530482334913
Karpas-422,107970,2.1264000948746555,1.9278538345936949
HCC1569,5470400,-2.0930891891397514,0.1429957472684382
COLO 668,44137675,3.761856572132536,3.5236761412392523
OVCAR-4,984333,0.8965745665653424,0.8978680405000621
OCI-M1,9952709,2.6362477163629463,2.897892926250713
Capan-2,24964624,3.096509188732527,2.5164042045858728
HGC-27,44489675,3.5966291104673656,3.745343189337707
SUP-T1,5113032,4.762737516184988,4.34596092970028
SK-ES-1,56963564,-0.389474553171683,0.16905844797938827
KYSE-70,54618771,1.1170424016733127,1.4507645188365033
PaTu 8902,11152667,1.2355675895718252,-0.4310369048999757
RPMI-8402,navitoclax-birinapant (1-1 mol-mol),0.6449033090606603,0.4471468530392601
A3/Kawakami,16038120,1.6835117980507206,0.06229058514771016
NCI-H23,16720766,0.6671989014860248,0.48581455043735916
TE-8,16038120,0.374443964615427,0.8753733401127519
Detroit 562,44507138,1.8605388564843683,2.5171375580212842
COR-L105,11625818,4.2515796910784385,4.4102450298565845
SF268,24951314,0.8045972508548987,1.336225168419251
DMS 273,374536,2.442253811681885,2.0216278947570943
GB-1,135423438,1.7622813158496486,2.2450956596083516
SK-MEL-30,SNX-2112-bortezomib (250-1 mol-mol),1.624536172022646,-0.9106371437988088
NCI-H2342,44185566,2.9768271044548817,2.4669500095552497
NCI-H929,selumetinib-PLX-4032 (8-1 mol-mol),3.606448116077345,3.5684717098432053
RPMI-8226,navitoclax-PLX-4032 (1-1 mol-mol),0.2986619257621255,0.9098937837225644
G-402,tretinoin-carboplatin (2-1 mol-mol),5.574947022476224,4.421055188830408
MKN7,65628,4.295843593821497,4.419595676760253
NCI-H661,71466578,3.739107690689307,4.167330327573879
A4/Fukuda,5311,-0.1264358008137528,1.037022766798322
SCC-25,2746,2.621805832840377,3.2530543392820794
OCI-Ly19,carboplatin-UNC0638 (2-1 mol-mol),1.568652570858033,3.064792791354054
KALS-1,73707398,0.9491392932530416,1.4610316786344064
Panc 08.13,ISOX-bortezomib (250-1 mol-mol),0.7136353082330074,0.6756980866977284
ML-1 [Human thyroid carcinoma],16038120,1.3266996549374028,0.9031564120816761
COLO 678,selumetinib-MK-2206 (8-1 mol-mol),0.1908270850864586,2.376095996949054
HCC1937,11964036,2.2680023335071215,1.5658867315978242
LXF 289,387447,-4.093727880786265,-3.9269258896255756
MeWo,11640390,3.2449181096214277,3.3759689272725457
UO-31,753704,5.428977360742816,4.791185975073352
CML-T1,6184667,4.239961832830672,2.465845586487003
OE21,11626560,1.5106981785877758,1.6182302089262786
22Rv1,25154868,4.416529260467488,4.48698601154255
KNS-62,24821094,4.235659994797041,3.07440916373943
Capan-2,erlotinib-PLX-4032 (2-1 mol-mol),4.854826071365333,2.9843036860395644
U-118MG,44566777,1.1211876597925492,0.9560088678233867
NCI-H2122,46174525,5.185593028622521,4.223691980967047
OCI-M1,3503,2.2009403958574016,1.9998853867329212
EFO-21,11626560,3.0125231595712187,2.081152839895124
BT-549,135875424,3.804392758634582,3.9114883106467677
NALM-6,navitoclax-pluripotin (1-1 mol-mol),-1.5816177334009076,-2.083010338470954
