cell_line_id,drug_id,response,predictions
HT115,984333,0.4002320848773198,0.4291094672548229
IGR-1,JQ-1-MK-0752 (1-1 mol-mol),0.0432224022116419,2.0964376736391475
TE-1,3062316,0.550914721709061,0.8114882724679738
UM-UC-3,65064,5.20081189901683,4.801694078451333
NCI-H292,9935249,3.8808310590786,3.3199112618788935
EKVX,24748573,2.2744575139501344,2.4288905338718387
B-CPAP,6610216,4.017338863517876,4.193870204533197
TE-4,16013152,4.906129423274357,3.9758340385792654
SNU-449,navitoclax-gemcitabine (1-1 mol-mol),5.117951975418846,-1.3373882702173177
SF268,24775005,3.437973425315998,3.7743651329590477
NCI-H508,3025986,-0.1600526835372885,-1.4022884788809427
NCI-H2172,54618305,4.356498397814067,4.187115660738666
SU-DHL-1,JQ-1-vorinostat (2-1 mol-mol),1.047000957100153,0.8071343740196248
PaTu 8902,selumetinib-navitoclax (8-1 mol-mol),2.7909772109313677,2.2680859116524026
CAL-54,2746,3.3346441526791306,3.3177167232879374
ECC12,10127622,5.401151906980483,3.793233803000711
NCI-H211,9929138,5.380776985298909,4.840926357110666
NCI-H522,5287620,-2.19230412457559,-2.152817569124484
NCI-H838,46191454,1.8380071805207052,1.8660237461163296
BHT-101,piperlongumine-MST-312 (1-1 mol-mol),3.5003852868322016,2.00419105232324
HCC1954,6623618,1.9536664350592945,2.3099213425879
TOV-21G,9911830,2.632871994542491,2.840458571817348
DU145,19582717,4.079167547325913,4.4416727091264345
SNU-449,BRD-K55473186,5.1406225681359174,4.3324653864733715
DoHH2,3062316,-4.102144500748695,-0.3390249009241263
OVCAR-8,10231331,5.783202418816481,2.2366699709122924
UO-31,56963564,0.4873946868914756,0.08155810103299496
SF539,16736978,2.0915382548726353,1.9376933346507412
NCI-H1838,44185566,2.308532509397113,2.6605125161129366
ECC12,alisertib-navitoclax (2-1 mol-mol),1.5169983142107526,0.4588559943696638
IA-LM,25262965,-3.1838216959830796,-0.9610421717039546
DU145,104842,-5.7011187916518935,-2.5558209871336954
EFO-27,11977753,-1.8189065225127747,-1.019678516002184
Panc 10.05,5287620,-1.9091068192222644,-1.8436078815797876
KMS-11,7326481,2.7623413102889085,2.552100962591415
KNS-62,5746,2.0120703748628608,1.1995494941916818
NCI-H1155,439501,-2.4258947741424572,-2.341381839635205
HCC366,446155,2.507013203557048,2.7581536211644364
BHY,3543504,4.27239492877783,4.468804959931385
OVK18,2708,4.094418491305804,3.6972005647875816
NCI-H1915,49766530,3.459700063272212,-0.09328278774261392
HGC-27,44543605,4.098474383739348,3.773735300727659
SKM-1,31703,-4.0248884095114965,-2.1126016050646124
RPMI-7951,10302451,2.662563983337758,3.4391416317035
NCI-H2081,104842,-6.196868817242243,-3.701510394203281
G-402,448949,1.435887228002693,1.6440172554952173
