cell_line_id,drug_id,response,predictions
P12-Ichikawa,26596,-2.168612597742571,-2.557432710823134
EC-GI-10,984333,-3.051872608344357,0.9899896891236799
EPLC-272H,piperlongumine-MST-312 (1-1 mol-mol),1.5737339810671582,1.6258106774766865
MES-SA,9866186,0.9290169733311512,0.49164174166232016
JeKo-1,9887053,3.7322509372114014,2.428611992846429
NCI-H2110,doxorubicin-navitoclax (2-1 mol-mol),-2.638354806422936,-0.9282149315115246
Daoy,selumetinib-GDC-0941 (4-1 mol-mol),2.0496212726424914,1.4316935511470794
DBTRG-05MG,selumetinib-navitoclax (8-1 mol-mol),3.4962449153721207,2.707136433169625
MES-SA,9936388,2.5692609882827964,-2.1226456299771694
UM-UC-3,navitoclax-sorafenib (1-1 mol-mol),1.365335670698342,1.8006585446558991
HCC1954,selumetinib-piperlongumine (8-1 mol-mol),2.2426733193071793,3.0157237013577447
SaOS-2,72376,-1.862865015628177,-1.7938908774402835
KYSE-140,24901704,4.0115836326370955,3.439292193647761
CAL-33,24951314,1.6899725259176115,1.320677169561221
Panc 10.05,216345,4.359083017393204,3.9371604582691293
CHP-212,9887053,1.8136622207304371,3.6719560083811613
U266B1,262093,2.320136156024279,2.119807677129284
NCI-H2170,doxorubicin-navitoclax (2-1 mol-mol),-1.3543958062007773,-0.9294274995918846
HCT 15,24753719,1.6813989750926222,4.210548230673828
SU-DHL-10,11404337,-3.1168849698273404,-1.386260247140625
SIG-M5,9866186,-0.469337765591878,0.23853426482537482
786-O,445643,5.266626358607012,4.131482394815267
KYM-1,11364421,-3.8755120502765834,-2.300585018514079
Mono-Mac-6,285033,-1.982838981659621,-3.3140453445882616
OE21,9866186,-0.2003776611728709,0.8971342239274385
NCI-H661,3025944,3.908905198351104,4.351079966286304
AGS,66577038,3.016990223516085,3.012606128025325
NCI-H1341,25195348,2.892897148639645,2.7770384002198063
NCI-H1915,25183872,-1.594925768430462,-0.4691277362248206
Raji,15983966,-4.617791465019002,-3.8091246841776916
FTC-133,10127622,5.496386107928154,3.8632710803913994
D283 Med,3689413,-5.066385831563446,-1.31186060833493
MDA-MB-231,54649381,4.253092807097923,3.8832652335057336
HARA [Human squamous cell lung carcinoma],ISOX-bortezomib (250-1 mol-mol),0.5382016887520487,0.6834887293348202
HCC1395,135984461,4.308264403922993,4.080428119184488
HCC1937,24901704,3.9753075077372455,3.537827569190331
RKN,2858523,3.2318364946727653,3.103129385193759
CAL-54,637858,1.3720795157109595,1.9314998585395484
RD,2749,2.7695001076987675,1.9244594244492979
NCI-H2228,637858,3.1749317104999673,2.4121934235940437
CA46,46926350,-5.311040218420036,-5.239333301312285
SF268,2742550,4.301402217118159,3.890072439199902
LOU-NH91,71304818,3.9209078908272703,2.5215724565929656
Lu-65,selumetinib-GDC-0941 (4-1 mol-mol),-1.6504739583037105,1.1507378165332782
OV-90,selumetinib-vorinostat (8-1 mol-mol),0.8269808058743753,2.4306911038347447
Calu-6,4261,2.6614542113118738,1.811762772503036
LCLC-103H,241158,3.440238106244061,4.222426417860849
BHY,54454,2.8209091917402014,2.5391862591972423
KMS-11,9907093,3.3021977267873086,3.7431123956613375
NCI-H929,46174525,3.514748643502036,3.299980832627913
LCLC-97TM1,3503,2.904492448420953,2.28521734780891
HH [Human lymphoma],25183872,-4.251161710153242,-1.9256152375035043
NCI-H929,3825829,4.289333234926349,3.2043124014038984
MDA-MB-468,44620216,3.761673814466171,3.5438210117299893
TALL-1 [Human adult T-ALL],5743,1.4196217489037326,-0.947103486322979
KM12,5351362,1.3474366823800878,1.5723600001334852
G-402,67156097,-0.6050827581838222,-1.837227937400592
NCI-H1105,216345,3.646195429673662,3.2413658297052286
K-562,3081361,1.217245739162405,2.3992940772925855
SK-MEL-3,44607531,1.7295390257855068,1.828416186806662
TYK-nu,44607531,2.0275675200107557,1.7286292864305832
LP-1,44493528,4.0079037689618815,4.032197623190558
A-673,2871966,-2.1375369153988597,-0.2569856335297806
RKO,24771867,6.323343540042099,1.3176362545570257
MDST8,11497983,4.366208744407351,4.2911429255847215
Daudi,6918638,-1.8107043721369585,-0.8202719297233304
NCI-H1975,54619267,3.9921196087581823,3.8502356324219367
VMRC-RCW,24785538,2.7635975621761024,2.0943820754883316
SU-DHL-8,tanespimycin-bortezomib (250-1 mol-mol),-0.6950122900269923,-1.7458099443841146
A-549,1716436,2.5951939484521724,3.2696546706480474
Panc 03.27,448949,2.2004142065371735,2.0576792101747787
RCH-ACV,44493952,2.971216444393721,2.630908959195408
KYSE-140,16736978,2.1763754897707948,1.4530590215350432
Hep 3B2.1-7,73707438,4.515086793447455,4.0577253679176355
C2BBe1,2708,7.310620794716233,4.718219410109882
NCI-H522,4477,0.4448521837298123,0.4067368796033148
VCaP,44607531,1.331615696470441,1.3117393600046534
IPC-298,57519531,2.914855913975042,2.5327981814070473
LAMA-84,24772860,-2.739208636177764,-2.720454387151207
NCI-H211,24785538,0.6658203246447137,0.4096849516429822
SUIT-2,selumetinib-PLX-4032 (8-1 mol-mol),5.091823515387088,3.477814215629662
NCI-H460,11222830,2.8861636193629323,2.030588271400969
SCC-25,49766530,-2.1571219685765195,-0.4155952023838697
BxPC-3,9911830,2.611582201474507,2.5323646033658505
NCI-H146,16038120,1.7989248875403512,0.7700834048447267
NCI-H28,5738263,2.819150961463538,3.4295278122056168
RCH-ACV,24951314,-0.0754853736042561,0.11066196306548814
CA46,5281321,-3.5082232289526663,-2.6043078463473335
TE-11,73707398,1.9159507910668552,1.2824926819255253
SW1088,24753719,4.9947563556598285,4.4713246007298695
TOV-112D,25227462,1.3323175912445546,-0.010900626102234261
EKVX,crizotinib-PLX-4032 (2-1 mol-mol),2.581317101995248,1.8154326044032658
MDA-MB-157,9884685,1.398372779004129,0.7660411716194018
OCI-AML-5,73707398,0.4979905922815086,0.6133010625925303
RS4;11,9911830,1.8582637769181332,1.4984810969193105
NCI-H2029,selumetinib-vorinostat (8-1 mol-mol),2.618172827263168,1.970960208227663
G-401,54626689,4.421186382617726,4.274919367859937
OAW28,71466380,4.3449274646859495,4.417355359413952
8305C,168312962,1.6683488310085814,1.5377723956724525
EJM,11717001,5.2726365511414475,3.878505632349992
SW620,selumetinib-tretinoin (2-1 mol-mol),-0.5953849827056693,2.664098427881297
KALS-1,56963564,1.643612023760572,0.735427899299374
EN,53495165,2.7892945964496736,-0.1786074791443142
ECC12,5460769,2.2219131741447913,2.9664506952159617
OCI-AML-5,241158,3.967364233011896,2.9009692060462573
EFO-21,4521392,4.366494358337353,4.36730384874707
SUP-B15,5743,-5.817907177792523,-1.7334593621531291
SaOS-2,119607,5.401113896800015,5.025908748969137
KYSE-150,107985,-3.63550255760894,-3.3786627756807777
SK-MEL-24,2746,3.4655100940792254,3.242543590597823
RL,24748573,1.634016711863875,1.7762736484365322
NCI-H647,613753,3.236416210467872,3.377559227592462
LCLC-103H,16219061,5.306010014393872,3.4166369638289042
JVM-3,15547703,2.759765855361666,2.222915719784953
Rh30,19582717,6.071105591881468,4.094613350826392
CAL-51,selumetinib-GDC-0941 (4-1 mol-mol),1.9069951643813725,1.4818771444718934
NB4,4788,5.454207952443488,5.099213539359763
CAL-120,46199207,3.556867057582783,3.1615310512275743
ACHN,25161177,5.044305255978691,4.494702970730472
MKN45,4259181,2.854305904234322,0.22859509493905264
MDA-MB-361,51039095,3.727391155984073,2.8441954871873714
OVCAR-8,5281321,1.8451998466970152,-1.0562178118764776
TCCSUP,5351362,1.0787076559340512,1.5714186861435278
SW1710,4917,3.5065827762791533,3.20843587096538
HL-60,23635314,-4.128458467591936,-2.4417189393314827
SK-MM-2,135411,-5.030603017749758,-0.030449166700029177
LS180,1641662,3.031869457755623,3.264134894929485
NCI-H211,53481919,3.235078564260439,3.4274029006502538
HT-144,446155,3.7750215426867486,2.6781831945573398
VCaP,JQ-1-UNC0638 (2-1 mol-mol),-1.5454078219453378,1.1821595642984701
NCI-H2029,5328940,2.2869498480067376,1.351341257800597
SNU-C1,navitoclax-sorafenib (1-1 mol-mol),2.2291892871185217,1.2966715753381477
NCI-H1651,9866186,0.1521633792838485,1.0910815549915105
BHY,24771867,4.455301160419176,2.1600085686200456
EN,409805,3.3343826376053154,4.621098719995846
L-363,11612883,1.6864876330962797,2.1763208348237804
KMS-12-BM,selumetinib-navitoclax (8-1 mol-mol),1.0992303518305886,0.8947194336033114
HCC2218,72376,-1.8929847607660144,-1.178612248140829
NB4,24856436,-0.4632049721351097,-0.8910402546859811
NCI-H2110,54596490,5.001361284562202,4.773415214825579
MSTO-211H,56649450,2.845391743702004,3.324861920290473
TE-10,11396600,3.9393585387483334,3.687724645545637
Panc 10.05,54626689,4.8438884977610135,4.644993904117396
Daudi,151289,0.3893937359913983,0.4929472449382258
647V,11609586,2.6761550897769095,2.9017605227915264
MOLP-8,51037431,3.96461280344528,2.773638574289983
SNU-475,72193861,2.773275266642409,1.7333294606041256
KYSE-520,11238147,3.2028993998989947,3.276227414726632
LS180,46907787,-0.2837252988913812,1.639937034585341
Rh18,56946209,-3.3359253382027574,-3.105119940554039
SNU-398,25183872,0.4129695024094059,-1.3987491608867972
