cell_line_id,drug_id,response
Namalwa,selumetinib-GDC-0941 (4-1 mol-mol),2.0079218875345015
Toledo,4096211,3.7474094037738497
Fu97,60700,1.0192158533157558
OE33,53232,3.686167488343025
TE-9,navitoclax-pluripotin (1-1 mol-mol),-0.3085046657654235
KG-1-C,piperlongumine-MST-312 (1-1 mol-mol),2.498457144076797
KMS-27,navitoclax-gemcitabine (1-1 mol-mol),-3.3144752374157007
CAL-51,613753,3.3238399640193177
MDA-MB-231,3634881,3.245367216525229
PC-3,54626689,4.828583340763222
HGC-27,44462760,4.045984199600086
T24,9915743,2.484963977138841
SK-MEL-30,2746,2.9636242403288344
A-549,2842253,7.84110253760125
RT-112,15983966,-4.718591128022532
TTC-709,53393127,2.22314211735055
MFE-319,44137675,3.760778415788738
JHH-5,25062766,2.0030657555989486
SK-LMS-1,17755052,2.8417893313361433
A2780,11964036,-0.2399638951327319
KPL-1,6623618,2.4501150337928923
HT-144,11214940,4.684761543754581
RERF-LC-Ad1,12001922,2.2096549629967424
NCI-H2171,44202524,1.9759332673432517
SBC-5,73707398,1.6541333685248465
L-363,448949,1.6346024382447
TE-5,2842253,3.834139158005434
WM1799,16722836,1.4972853855630008
WM266-4,9927531,4.893127770626654
KCL-22,44819697,-2.7155405642772656
DB,81146,4.361595534165367
ML-1 [Human thyroid carcinoma],alisertib-navitoclax (2-1 mol-mol),-1.2100779480376045
PaTu 8988s,11228183,1.465741521328901
Kasumi-2,613000,1.0071641049539857
TUHR10TKB,387447,-3.2938610949928067
UO-31,6914657,-4.948857740680238
Namalwa,2729026,2.9646999473246125
MDA-MB-361,3634881,3.4327078536860816
YD-8,4917,3.030228999243137
BFTC-909,400769,-0.3884900564724624
BT-12,24180125,2.7437053891950636
SH-10-TC,6610355,3.5879338232464164
KYO-1,3825829,3.433797829467159
HGC-27,176870,2.569950409971277
MOLP-8,54678924,1.6307832002497362
LS411N,2858523,3.1062955336512603
NCI-H1792,16722836,1.7329402037421633
Mono-Mac-6,17755052,-0.2319762195117264
SW620,135398744,6.387116600988426
NCI-H1581,11609586,2.800656034923178
U-87MG ATCC,31703,-0.1645334471996067
RVH-421,2949965,1.2389085075098536
SNU-1196,navitoclax-pluripotin (1-1 mol-mol),-0.6364665130351306
MDA-MB-453,45279963,3.011106079512325
BT 131,46907787,3.719666358571709
SW1990,selumetinib-tretinoin (2-1 mol-mol),2.9707045736448707
KNS-62,selumetinib-JQ-1 (4-1 mol-mol),1.6160613728913362
BT 224,135999136,1.5656128801524771
CAL-62,20959075,-3.180147061497687
MDA-MB-435S,60700,1.216493447505325
BL-70,72734382,3.2059116741041476
WSU-DLCL2,3815108,-0.0836346608185108
NCI-H2196,23725625,5.5749698382050745
NCI-H28,doxorubicin-navitoclax (2-1 mol-mol),-4.056724942876931
Fu97,selumetinib-UNC0638 (4-1 mol-mol),3.83145216348574
JJN-3,72199292,1.5075628689172902
UM-UC-1,24797083,1.0523874578339536
OAW42,6918328,1.2418785321861934
SCaBER,60700,0.1343470867051481
COLO 668,5281321,-3.618892622622067
HuT 78,44486219,3.8943973878115985
JHUEM-2,selumetinib-vorinostat (8-1 mol-mol),2.576668042411364
OCUM-1,9926054,1.1512095062885492
KMRC-2,9903786,3.847767222952075
EFO-21,46926350,-4.110942740118918
DB,5280436,1.595048464740478
OAW42,9887053,3.1515627670394992
NCI-H1650,2126,3.7006639348308186
AM-38,375860,-0.397083991918632
T24,56973724,5.869900568487609
NCI-H358,9444,4.000509084091315
