,algorithm,rand_setting,LPO_LCO_LDO,CV_split,MSE,RMSE,MAE,R^2,Pearson,Spearman,Kendall,Spearman: normalized,Pearson: normalized,Kendall: normalized,R^2: normalized
NaiveMeanEffectsPredictor_predictions_LCO_split_3,NaiveMeanEffectsPredictor,predictions,LCO,3,2.0657755218160885,1.437280599540705,0.9934270767758591,0.6798536667645532,0.8245881541985779,0.8167553513591452,0.6393929080367343,0.0,0.0,0.0,-0.0001329732428541064
NaiveMeanEffectsPredictor_predictions_LCO_split_2,NaiveMeanEffectsPredictor,predictions,LCO,2,2.040080058846388,1.4283137116356435,0.9764115525916232,0.6679671882889582,0.8201796989193233,0.8147161552171928,0.6393306162018092,0.0,0.0,0.0,-0.017483053729762332
NaiveMeanEffectsPredictor_predictions_LCO_split_0,NaiveMeanEffectsPredictor,predictions,LCO,0,1.9350112444622916,1.3910468160569909,0.9656495251244052,0.7015078557035861,0.8377943533184191,0.827392558542915,0.6510830899459674,0.0,0.0,0.0,-0.005127811903971269
NaiveMeanEffectsPredictor_predictions_LCO_split_1,NaiveMeanEffectsPredictor,predictions,LCO,1,2.1830316868355926,1.4775086080411148,1.0103944727962642,0.6668806469085029,0.8167721782042912,0.8106351810632043,0.6337401793619206,0.0,0.0,0.0,-7.1358983582126e-06
NaiveMeanEffectsPredictor_predictions_LCO_split_5,NaiveMeanEffectsPredictor,predictions,LCO,5,2.108008165434966,1.4518981250194403,0.9791676761182839,0.6718126064754277,0.8203202088227237,0.816640187943756,0.641740168298771,0.0,0.0,0.0,-0.0036094044893182353
NaiveMeanEffectsPredictor_predictions_LCO_split_4,NaiveMeanEffectsPredictor,predictions,LCO,4,2.086720467920419,1.444548534290357,1.0085360163838153,0.6775773309758397,0.8232600941894079,0.8089728292561638,0.6318006662406909,0.0,0.0,0.0,-2.3334421579646047e-05
NaiveMeanEffectsPredictor_predictions_LCO_split_6,NaiveMeanEffectsPredictor,predictions,LCO,6,2.289383215232344,1.5130707898946247,1.0322187571377868,0.651789236780407,0.808619282021058,0.8078123151412225,0.629754809609656,0.0,0.0,0.0,-0.005497657731758698
NaiveMeanEffectsPredictor_predictions_LCO_split_7,NaiveMeanEffectsPredictor,predictions,LCO,7,2.0693706474075966,1.4385307252219526,1.0013829073033242,0.6779372749654902,0.8251579833065468,0.805855929456339,0.6290829831208292,0.0,0.0,0.0,-0.009238451728094343
NaiveMeanEffectsPredictor_predictions_LCO_split_9,NaiveMeanEffectsPredictor,predictions,LCO,9,2.1403628672587587,1.4629979040513894,1.0157606394315164,0.6752191976905346,0.8226804406811224,0.8183309321946336,0.6383169592174225,0.0,0.0,0.0,-0.001327576111761708
NaiveMeanEffectsPredictor_predictions_LCO_split_8,NaiveMeanEffectsPredictor,predictions,LCO,8,2.0518219810290117,1.4324182283917681,0.965689277362645,0.6877424631047273,0.8309651400725478,0.829280916317049,0.6536717840804535,0.0,0.0,0.0,-0.006236128330171509
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_4,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,4,1.737743079791318,1.3182348348421529,0.8997959489578752,0.7314984107943543,0.8561300914633454,0.8428709213668176,0.672257354169753,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_5,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,5,1.8949144931124484,1.3765589319431437,0.9260374247425334,0.7049883114099843,0.8405238030340305,0.8325101944003234,0.6607770195120973,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_9,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,9,1.8056493665040223,1.3437445317113006,0.9081375005884966,0.7260089590818636,0.8534561181341267,0.8535942115221348,0.6817096949226469,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_8,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,8,1.8768898055514018,1.3699962793932696,0.9116901918045415,0.7143646022295727,0.8481300712339443,0.8485691624779442,0.6768939467478714,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_4,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,4,1.7592657821512285,1.3263731685130051,0.9080035648521289,0.7281729020613086,0.8541873925370984,0.8416501401033367,0.6702413771226992,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_5,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,5,1.8649928441522323,1.3656474084302406,0.9166525307902119,0.7096466937365937,0.8433845386807473,0.8376047350670458,0.6659837850348816,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_7,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,7,1.6996185937597552,1.3036942102194653,0.8822995350582581,0.7354829612030482,0.8593060151404334,0.8465507520094251,0.6771165505207983,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_6,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,6,1.9790084755908999,1.4067723609706368,0.9327556985841731,0.6989966349370591,0.8364681357901087,0.8362350753762757,0.6642646815400554,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_7,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,7,1.7356706681140956,1.3174485447690532,0.8994007195061645,0.7298720623898021,0.8568034093450252,0.8416502524984454,0.6714085249441925,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_6,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,6,1.960918850695522,1.4003281225111213,0.9246955632271641,0.7017480319287317,0.8379535333284228,0.8389564932775039,0.667137352683231,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_2,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,2,1.756501831072974,1.3253308383467783,0.8784038326260036,0.7141209046097208,0.845255521642132,0.8423519811104949,0.6714990865539797,,,,
